Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Faculty E2E,Chrome 87.0.4280.141,Faculty Test Suite End to End,,2021-03-08 18:16:07,2021-03-08 18:19:57,3m - 49.177s,PASSED
,,,,,,,
Test Cases/Web/Faculty/Imports,Chrome 87.0.4280.141,Faculty Imports,"Faculty, Imports",2021-03-08 18:16:09,2021-03-08 18:16:43,34.434s,PASSED
"openBrowser("""")",Chrome 87.0.4280.141,,,2021-03-08 18:16:09,2021-03-08 18:16:11,2.154s,PASSED
"navigateToUrl(""https://oecfrontend.vercel.app/"")",Chrome 87.0.4280.141,,,2021-03-08 18:16:11,2021-03-08 18:16:13,1.502s,PASSED
"setText(findTestObject(""Faculty/Imports/input_Faculty Login_username""), ""AITS051002"")",Chrome 87.0.4280.141,,,2021-03-08 18:16:13,2021-03-08 18:16:14,1.715s,PASSED
"setEncryptedText(findTestObject(""Faculty/Imports/input_Faculty Login_password""), ""/HuGEUzXDLUt1zEZ6TwafQ=="")",Chrome 87.0.4280.141,,,2021-03-08 18:16:14,2021-03-08 18:16:16,1.412s,PASSED
"click(findTestObject(""Faculty/Imports/button_Login""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:16,2021-03-08 18:16:17,0.822s,PASSED
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:17,2021-03-08 18:16:18,1.278s,PASSED
"click(findTestObject(""Faculty/Imports/div_Role ()AdminFacultyHOD""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:18,2021-03-08 18:16:19,0.942s,PASSED
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:19,2021-03-08 18:16:20,0.900s,PASSED
"click(findTestObject(""Faculty/Imports/a_Faculty""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:20,2021-03-08 18:16:21,0.939s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-03-08 18:16:21,2021-03-08 18:16:23,2.049s,PASSED
"click(findTestObject(""Faculty/Imports/Imports""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:23,2021-03-08 18:16:24,0.826s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:16:24,2021-03-08 18:16:25,0.925s,PASSED
"click(findTestObject(""Faculty/Imports/img_1""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:25,2021-03-08 18:16:25,0.826s,PASSED
"focus(findTestObject(""Faculty/Imports/Course_obj""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:25,2021-03-08 18:16:26,0.600s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-03-08 18:16:26,2021-03-08 18:16:28,2.016s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:16:28,2021-03-08 18:16:29,0.589s,PASSED
"click(findTestObject(""Faculty/Imports/cousrse_obj_close""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:29,2021-03-08 18:16:29,0.830s,PASSED
"click(findTestObject(""Faculty/Imports/course_outcome""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:29,2021-03-08 18:16:30,0.931s,PASSED
"focus(findTestObject(""Faculty/Imports/course_outcome_close""))",Chrome 87.0.4280.141,,,2021-03-08 18:16:30,2021-03-08 18:16:31,0.614s,PASSED
delay(2),Chrome 87.0.4280.141,,,2021-03-08 18:16:31,2021-03-08 18:16:33,2.011s,PASSED
